date,old_profit,new_profit,difference,increase
240630,2339.23,4644.47,2305.24,98.55
240630,2098.99,2978.19,879.2,41.89
240630,3172.77,5573.64,2400.87,75.67
240630,1925.16,1925.16,-0.0,-0.0
240630,3195.5,6311.95,3116.45,97.53
240630,3509.51,6834.41,3324.9,94.74
240630,-247.27,1748.01,1995.29,806.92
240630,6388.32,5905.73,-482.59,-7.55
240630,3066.87,862.99,-2203.88,-71.86
240630,5443.53,5967.37,523.84,9.62
240630,6319.7,5162.23,-1157.47,-18.32
240630,2789.71,7152.25,4362.54,156.38
240630,3088.88,4058.97,970.09,31.41
240630,2219.7,3504.98,1285.28,57.9
240630,409.18,1543.36,1134.18,277.18
240630,4112.38,4106.95,-5.43,-0.13
240630,6569.87,5396.71,-1173.16,-17.86
240630,775.28,3054.41,2279.13,293.98
240630,4166.72,2669.38,-1497.34,-35.94
240630,6818.76,5841.74,-977.03,-14.33
240630,-3411.23,2331.26,5742.49,168.34
240630,6303.75,6303.75,-0.0,-0.0
240630,5429.69,3490.8,-1938.89,-35.71
240630,1048.64,4981.69,3933.05,375.06
240630,2380.93,4881.4,2500.46,105.02
240630,1682.42,10503.41,8820.98,524.3
240630,-5973.17,5198.68,11171.85,187.03
240630,4611.17,7103.39,2492.22,54.05
240630,3386.18,10858.47,7472.29,220.67
240630,2189.47,3668.33,1478.86,67.54
240630,4357.87,3559.21,-798.67,-18.33
240630,63.72,4126.92,4063.21,6377.1
240630,4479.82,5447.94,968.13,21.61
240630,3463.21,-2684.13,-6147.34,-177.5
240630,3153.71,6460.82,3307.1,104.86
240630,2468.79,2468.79,0.0,0.0
240630,377.47,5623.31,5245.84,1389.73
240630,1192.65,3046.64,1853.99,155.45
240630,4638.21,4465.22,-172.98,-3.73
240630,7252.99,14818.9,7565.91,104.31
240701,-773.51,9596.05,10369.56,1340.59
240701,4292.26,9816.91,5524.65,128.71
240701,2784.27,-15612.49,-18396.76,-660.74
240701,1383.22,5480.97,4097.75,296.25
240701,6020.26,6020.26,-0.0,-0.0
240701,-4404.45,-9429.23,-5024.78,-114.08
240701,4562.85,5731.67,1168.82,25.62
240701,3924.53,4766.42,841.88,21.45
240701,6250.72,10016.74,3766.02,60.25
240701,642.68,-117.47,-760.15,-118.28
240701,-5323.7,2570.54,7894.24,148.28
240701,4174.77,6836.82,2662.05,63.77
240701,5054.68,5921.44,866.76,17.15
240701,2088.13,2171.78,83.66,4.01
240701,5009.99,5578.78,568.8,11.35
240701,-5070.08,-1664.98,3405.1,67.16
240702,3305.54,16026.45,12720.91,384.84
240702,1532.26,6911.83,5379.57,351.09
240702,4695.16,7294.5,2599.34,55.36
240702,6450.82,6450.82,-0.0,-0.0
240702,5587.44,5138.24,-449.2,-8.04
240702,2438.24,-3170.13,-5608.37,-230.02
240702,2222.81,-1646.41,-3869.22,-174.07
240702,406.68,1014.87,608.19,149.55
240702,6999.4,7079.69,80.29,1.15
240702,5422.94,4929.98,-492.96,-9.09
240702,-1099.69,4517.44,5617.13,510.79
240702,2629.03,6636.87,4007.84,152.45
240702,4523.9,4602.47,78.57,1.74
240702,4354.93,-20783.78,-25138.71,-577.25
240702,5870.65,11698.5,5827.85,99.27
240702,2084.51,-26617.31,-28701.82,-1376.91
